"Data Set 1, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 1, Fl Ex @ 405 nm:Fluorescence","Data Set 2, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 2, Fl Ex @ 405 nm:Fluorescence","Data Set 3, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 3, Fl Ex @ 405 nm:Fluorescence","Data Set 4, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 4, Fl Ex @ 405 nm:Fluorescence","Data Set 5, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 5, Fl Ex @ 405 nm:Fluorescence","Data Set 6, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 6, Fl Ex @ 405 nm:Fluorescence","Data Set 7, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 7, Fl Ex @ 405 nm:Fluorescence","Data Set 8, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 8, Fl Ex @ 405 nm:Fluorescence","Data Set 9, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 9, Fl Ex @ 405 nm:Fluorescence","Data Set 10, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 10, Fl Ex @ 405 nm:Fluorescence"
459.2,-0.000,459.2,0.000,459.2,-0.000,459.2,0.089,459.2,0.265,459.2,0.434,459.2,0.614,459.2,0.784,459.2,0.143,459.2,0.242
460.1,0.000,460.1,0.001,460.1,0.000,460.1,0.091,460.1,0.267,460.1,0.436,460.1,0.618,460.1,0.789,460.1,0.144,460.1,0.244
460.9,-0.000,460.9,0.001,460.9,0.000,460.9,0.091,460.9,0.270,460.9,0.439,460.9,0.621,460.9,0.794,460.9,0.146,460.9,0.244
461.7,-0.000,461.7,-0.000,461.7,0.000,461.7,0.091,461.7,0.269,461.7,0.440,461.7,0.622,461.7,0.794,461.7,0.145,461.7,0.244
462.5,0.000,462.5,-0.000,462.5,0.001,462.5,0.092,462.5,0.271,462.5,0.441,462.5,0.621,462.5,0.794,462.5,0.146,462.5,0.245
463.4,0.000,463.4,0.000,463.4,0.001,463.4,0.092,463.4,0.270,463.4,0.441,463.4,0.620,463.4,0.792,463.4,0.145,463.4,0.246
464.2,0.000,464.2,-0.000,464.2,0.000,464.2,0.091,464.2,0.269,464.2,0.440,464.2,0.619,464.2,0.791,464.2,0.145,464.2,0.245
465.0,-0.000,465.0,0.000,465.0,-0.001,465.0,0.090,465.0,0.268,465.0,0.441,465.0,0.620,465.0,0.794,465.0,0.145,465.0,0.245
465.8,-0.000,465.8,-0.000,465.8,-0.001,465.8,0.090,465.8,0.268,465.8,0.439,465.8,0.619,465.8,0.791,465.8,0.143,465.8,0.243
466.7,-0.000,466.7,-0.001,466.7,-0.001,466.7,0.090,466.7,0.269,466.7,0.439,466.7,0.619,466.7,0.793,466.7,0.144,466.7,0.243
467.5,-0.000,467.5,-0.001,467.5,-0.000,467.5,0.090,467.5,0.268,467.5,0.439,467.5,0.618,467.5,0.789,467.5,0.142,467.5,0.243
468.3,-0.000,468.3,-0.001,468.3,-0.000,468.3,0.090,468.3,0.267,468.3,0.437,468.3,0.615,468.3,0.786,468.3,0.143,468.3,0.242
469.1,-0.000,469.1,-0.000,469.1,0.000,469.1,0.090,469.1,0.264,469.1,0.436,469.1,0.613,469.1,0.783,469.1,0.142,469.1,0.241
470.0,0.000,470.0,0.000,470.0,0.001,470.0,0.089,470.0,0.264,470.0,0.435,470.0,0.612,470.0,0.785,470.0,0.143,470.0,0.241
470.8,0.000,470.8,0.000,470.8,0.001,470.8,0.089,470.8,0.263,470.8,0.434,470.8,0.611,470.8,0.784,470.8,0.141,470.8,0.241
471.6,-0.000,471.6,0.000,471.6,0.000,471.6,0.088,471.6,0.263,471.6,0.432,471.6,0.607,471.6,0.778,471.6,0.141,471.6,0.240
472.5,-0.000,472.5,0.000,472.5,0.001,472.5,0.088,472.5,0.261,472.5,0.430,472.5,0.604,472.5,0.774,472.5,0.140,472.5,0.240
473.3,0.000,473.3,0.001,473.3,0.000,473.3,0.087,473.3,0.260,473.3,0.427,473.3,0.600,473.3,0.770,473.3,0.140,473.3,0.239
474.1,0.000,474.1,0.001,474.1,0.000,474.1,0.086,474.1,0.260,474.1,0.424,474.1,0.597,474.1,0.768,474.1,0.139,474.1,0.237
474.9,0.000,474.9,0.000,474.9,-0.000,474.9,0.085,474.9,0.258,474.9,0.422,474.9,0.596,474.9,0.764,474.9,0.138,474.9,0.235
475.8,0.000,475.8,-0.000,475.8,0.000,475.8,0.083,475.8,0.254,475.8,0.419,475.8,0.592,475.8,0.757,475.8,0.135,475.8,0.232
476.6,0.000,476.6,-0.000,476.6,-0.000,476.6,0.083,476.6,0.252,476.6,0.416,476.6,0.588,476.6,0.751,476.6,0.134,476.6,0.230
477.4,-0.000,477.4,-0.000,477.4,-0.001,477.4,0.082,477.4,0.248,477.4,0.412,477.4,0.581,477.4,0.743,477.4,0.133,477.4,0.226
478.2,-0.001,478.2,-0.000,478.2,-0.001,478.2,0.081,478.2,0.247,478.2,0.409,478.2,0.576,478.2,0.738,478.2,0.132,478.2,0.223
479.1,-0.001,479.1,-0.001,479.1,-0.001,479.1,0.080,479.1,0.243,479.1,0.405,479.1,0.570,479.1,0.732,479.1,0.130,479.1,0.220
479.9,-0.002,479.9,-0.001,479.9,-0.001,479.9,0.079,479.9,0.241,479.9,0.400,479.9,0.564,479.9,0.727,479.9,0.128,479.9,0.217
480.7,-0.002,480.7,-0.000,480.7,-0.001,480.7,0.077,480.7,0.239,480.7,0.395,480.7,0.562,480.7,0.723,480.7,0.126,480.7,0.215
481.5,-0.002,481.5,-0.000,481.5,-0.000,481.5,0.077,481.5,0.238,481.5,0.392,481.5,0.559,481.5,0.719,481.5,0.125,481.5,0.215
482.4,-0.002,482.4,-0.000,482.4,-0.000,482.4,0.075,482.4,0.235,482.4,0.388,482.4,0.554,482.4,0.710,482.4,0.123,482.4,0.212
483.2,-0.001,483.2,-0.001,483.2,-0.000,483.2,0.074,483.2,0.230,483.2,0.385,483.2,0.549,483.2,0.701,483.2,0.121,483.2,0.211
484.0,-0.001,484.0,-0.002,484.0,-0.001,484.0,0.072,484.0,0.227,484.0,0.381,484.0,0.542,484.0,0.694,484.0,0.119,484.0,0.208
484.9,-0.001,484.9,-0.001,484.9,-0.000,484.9,0.072,484.9,0.226,484.9,0.379,484.9,0.537,484.9,0.690,484.9,0.117,484.9,0.205
485.7,-0.001,485.7,-0.001,485.7,-0.000,485.7,0.070,485.7,0.223,485.7,0.375,485.7,0.531,485.7,0.684,485.7,0.116,485.7,0.202
486.5,-0.001,486.5,-0.001,486.5,-0.000,486.5,0.070,486.5,0.220,486.5,0.370,486.5,0.524,486.5,0.674,486.5,0.114,486.5,0.199
487.3,-0.001,487.3,-0.001,487.3,-0.001,487.3,0.067,487.3,0.215,487.3,0.362,487.3,0.514,487.3,0.662,487.3,0.112,487.3,0.195
488.2,-0.001,488.2,-0.000,488.2,-0.001,488.2,0.067,488.2,0.211,488.2,0.355,488.2,0.505,488.2,0.652,488.2,0.110,488.2,0.192
489.0,-0.001,489.0,-0.000,489.0,-0.001,489.0,0.065,489.0,0.207,489.0,0.349,489.0,0.495,489.0,0.640,489.0,0.106,489.0,0.187
489.8,-0.001,489.8,-0.000,489.8,-0.000,489.8,0.064,489.8,0.203,489.8,0.343,489.8,0.487,489.8,0.632,489.8,0.104,489.8,0.184
490.6,-0.001,490.6,-0.001,490.6,-0.001,490.6,0.062,490.6,0.200,490.6,0.337,490.6,0.479,490.6,0.623,490.6,0.102,490.6,0.181
491.5,-0.000,491.5,-0.001,491.5,0.000,491.5,0.061,491.5,0.196,491.5,0.332,491.5,0.473,491.5,0.614,491.5,0.099,491.5,0.178
492.3,-0.000,492.3,-0.001,492.3,0.000,492.3,0.060,492.3,0.192,492.3,0.326,492.3,0.468,492.3,0.604,492.3,0.098,492.3,0.175
493.1,-0.001,493.1,-0.001,493.1,0.000,493.1,0.059,493.1,0.186,493.1,0.320,493.1,0.460,493.1,0.594,493.1,0.096,493.1,0.170
493.9,-0.001,493.9,-0.001,493.9,-0.000,493.9,0.059,493.9,0.184,493.9,0.314,493.9,0.453,493.9,0.586,493.9,0.095,493.9,0.167
494.8,-0.001,494.8,-0.001,494.8,-0.000,494.8,0.057,494.8,0.180,494.8,0.310,494.8,0.446,494.8,0.579,494.8,0.094,494.8,0.164
495.6,-0.001,495.6,-0.000,495.6,-0.001,495.6,0.056,495.6,0.179,495.6,0.307,495.6,0.440,495.6,0.572,495.6,0.092,495.6,0.162
496.4,-0.002,496.4,-0.000,496.4,-0.001,496.4,0.054,496.4,0.175,496.4,0.301,496.4,0.432,496.4,0.562,496.4,0.089,496.4,0.158
